27,aŋutnuneq,brother (or favorite cousin) of a woman,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
28,aġuvet-,"to sit down, take a seat",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
29,aġvaaq,baby whale,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
30,aġvaluaq,gray whale,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
31,aġveq,bowhead whale,aġveek ,(dl) bowhead whales,aġvet ,(pl) bowhead whales,,,Diomede Wordlist,,,,,,,,,,,,,,,
32,agvi(q)-,to go across the water to Wales from Little Diomede,Aġvituq. ,S/he -,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
33,aġviaġnaq,current which flows toward Siberia,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
34,aaŋaq,father,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
35,aałhutaq,spoon,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
36,aaġlu,killer whale,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
37,aaka,mother,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
38,aana,grandmother,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
39,aapsaaġruk,male whale (smaller than aapsak),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
40,aapsak,large male bowheada whale,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
41,ablaak-,to spread one's legs,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
42,ablu(q)-,"to step over, jump over",Ablutuq. ,S/he steps over.,Abluaa.,S/he steps over it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
43,agaaq-,to have hurt feelings,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
44,agi-,"to take revenge on, get back at",Agigia.,I take revenge on him/her.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
45,agi*,across,agiani,located across from it,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
46,agili(q)-,to buy,Agiliiga.,I buy it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
47,agitaun,pillow,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
48,agitu-,(from agi)! to be expensive,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
49,agla(k)-,"to write, to write on",Aglaega.,I wrote on it.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
50,aglaun,"(from agla(k)-) pencil, pen",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
51,agliġuq,"jaw, jawbone",agliġuuk,(dl) jawbones,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
52,agliusraq,"picture, photograph",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
53,agliutet,camera,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
54,agliuti-,"to photograph, take a picture of",Agliuteega.,I take a picture of it.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
55,aglizaq-,"(from agli-) to rear, raise",Aglizaġaa.,S/he raised him/her.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
56,agluq,ridge beam of house roof,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
57,agraat,gloves,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
58,"agrat, agraq",hand,"agratka, agraġaa",my hand,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
59,ai-,"to go next door, to go over there; go get, fetch",Aggiin!,Go next door!,Aigaa.,S/he fetched it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
60,aipaq,"spouse, mate",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
61,aiqan,mitten; sealskin fur mit,aiqatek,(dl) mittens,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
62,aituq-,"to give s.o. sth. to keep, as a gift",Aituaaŋa.,S/he gives something to me.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
63,aiviniq,aged walrus blubber,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
64,akkaa,so big! So much!,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
65,akkiaq,femur bone,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
66,akkuaq-,to catch,Akkuaġaa.,S/he catches it.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
67,"akkunin, akkuni",a little while ago,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
68,akpeC-,"to start to sing, begin a speech",Akpeega.,I start to sing it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
69,akpit-,to start singing,Akpituq.,S/he started singing.,Akpeaa.,S/he started singing it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
70,aksi(k)-,to touch,Aksiiga.,I touch it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
71,aktuu-,to be big,aktuaq,something big,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
72,alaka(q)-,to go to see someone,Alakagaa.,S/he goes to see him/her.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
73,alek-,"to rip, tear",Alekaa.,S/he tears it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
74,aleq,line for sealing harpoon,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
75,aliqtik,socks,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
76,alu,arch of foot,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
77,aluk,berry,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
78,aluk-,to  eat berries,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
79,aluk-,"to lick, lap",Alukea. ,I lick it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
80,aluun,tongue,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
81,amaġuq,wolf,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
82,amaayaq,doll,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
83,amauq,great-grandparent,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
84,amiġlavau-,to be many,Amiġlavaurut.,There are many of them. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
85,amiakuq,something leftover,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
86,amigatuurau-,to be few in number,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
87,amiiq-,to skin (a seal); to lose skin,Amiiqtuq.,It lost its skin.,Amiiġaa.,S/he skinned it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
88,amiq,"skin of animal, hide",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
89,amit-,to be narrow,Amituq. ,It is narrow.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
90,amituuraq-,to be narrow,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
91,amituurau-,to be narrow,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
92,amu-,"to pull up, out",Amugaa.,S/he pulled it out.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
93,anaŋa,I'm scared! It's scary!,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
94,ane-,to go out,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
95,aneġlamiaq,newborn,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
96,aneqługaq-,to breathe,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
97,aneqsaak-,"to take a breath, sigh",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
98,aniŋa-,to be protruding,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
99,aniaqan,brother of a man,aniaqatega,my brother,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
100,aniqsaaq-,to breathe; spout (of whale),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
101,anit-,to put something out,Anetkega.,I put it out. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
102,anuġi,wind,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
103,apsi-,to be hazy,Apsituq. ,It is hazy.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
104,"aqpa-, aqpat-",(both?) to run,Aqparuq.,S/he is running,Aqpatuq. ,S/he is running.,,,Diomede Wordlist,,,,,,,,,,,,,,,
105,aqpaliq,least auklet (bird),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
106,aqparuq-,"to jog, trot",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
107,aqpik,"cloudberry, locally salmonberry",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
108,assi(q)-,Assiaa.,S/he named him/her. ,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
109,assiute-,name OBJ for s.o. ,Assiutegaa.,S/he named him/her for s.o. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
110,ata-,to be the same,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
111,atege,parka,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
112,ateq,name,atqa,his/her name,atqin,your name,,,Diomede Wordlist,,,,,,,,,,,,,,,
113,ateq-,to go to Big Diomede from Little Diomede,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
114,ati-,"to get dressed, put on clothes",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
115,atikłuk,(from atege),shirt,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
116,atni(q)-,"to hurt, to be hurt",Atnituq.,S/he is hurt.,Atniiga.,I hurt him/her. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
117,atniaq-,"to be hurting, in pain (of person)",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
118,atninaq-,"to be sick; to be dangerous, harmful",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
119,atpa,murre (bird),atpait,(pl) murres,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
120,atqa(q)-,"to go down, to descend; dive (of animal), sound",Atqatuq. ,S/he went down. ,Atqagaa?,S/he went down it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
121,attausi(q)- ??,to pay a wage to,Attausiukepken. ,I pay a wage to you?,Attausiaa.,S/he pays a wage to him/her. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
122,atunem,"the same, equal",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
123,atuq-,to sing; to use,Atuqtuq. ,S/he is singing; using something. ,Atuġaa.,S/he is singing it; using it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
124,auk,blood,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
125,aukaniq-,to be wet snow (in late spring),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
126,auksi(q)-,to melt,Auksituq. ,It melts. ,Auksiaa.,S/he melts it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
127,aula-,"to go away, leave, depart",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
128,aula(q)-,to go out and pick greens,Aulatuq. ,S/he goes out and picks greens. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
129,aupaupek,"[Ch.] why not, you might as well, perhaps one could",Aupaupek atuułain.,Maybe I could sing to you.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
130,aupkaneq,ice which is thawed through,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
131,autaiq-,for one's dog team to run away (and?),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
132,auvaC-,"to leave, depart",Auvatuŋa.,"I leave, depart. ",,,,,Diomede Wordlist,,,,,,,,,,,,,,,
133,ava,grandfather,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
134,avaaġruk,great-grandfather,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
135,avaapazuk,giant,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
136,ave-,to be covered with snow,Apsruq. ,It is covered with snow.,Avegaa.,"It has snowed on it, covering it. ",,,Diomede Wordlist,,,,,,,,,,,,,,,
137,aveġe-,to ask,Aveġeaa.,S/he asks him/her,Aveġeuŋ!,Ask him!,,,Diomede Wordlist,,,,,,,,,,,,,,,
138,aveqsru(q)-,to ask about someone; question someone,Aveqsruaa.,S/he asked about him. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
139,avuq- ??,to meet,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
140,avvaq,half of something,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
141,avvazaaq,"namesake, one with the same name",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
142,avyaq,"mussel, clam",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
143,awanizaq,something far away,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
144,awatavak,seal poke,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
145,awek-,"to cut, split in two, separate",Awekea.,I cut it in two. ,Awektuq. ,It is split in two. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
146,awiŋaq,lemming,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
147,awilu(k)-,to make a loud rumbling,Awilutuq. ,It makes a loud rumbling. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
148,awilutit-,to make a rattling noise,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
149,ayak-,"to depart in a boat, shove off",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
150,azikaq,younger sibling,azikaġa,my younger sibling,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
151,eŋe,front part of pelvic bone,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
152,eġeq,"inside of cheek, (inside corner of mouth)",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
153,eġet-,"to hug, embrace",Eġetkaa.,S/he hugs him/her. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
154,eġetqiuŋuraq,"pinky finger, little finger",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
155,"(e)gauraq, gauraq",storage area for greens in hallway of house,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
156,eġmit-,to have no water,Eġmilaq.,There is no water. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
157,eġmun,bottle,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
158,ea,meat storage hole,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
159,ea-,"(also ega-? q.v.) cook outdoors, esp. in large cauldron over an open fire",Earuq. ,S/he cooked…,Eagea.,I cooked... it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
160,eaaq,boiled food,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
161,eavik,outdoor cooking place,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
162,eet-,to throw away,Eetkea.,I threw it away.,Eesiruq.,S/he threw away something. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
163,efsru(q)-,to drown,Efsrutuq. ,S/he drowned. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
164,ega-,to cook outside,Egaruq. ,(cf. ea-?) S/he cooks outside. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
165,"ega, ga","storage hole for meat, greens",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
166,egaaq-,"to cross over to the Diomedes from East Cape, Russia",Egaaqtuq.,S/he crosses over. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
167,egauraq,storage area in entrance tunnel of house,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
168,ege-,"to burn, ignite",Eksruq. ,It ignited. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
169,ege-,to get in (to a vehicle); put something in,Eksruq. ,S/he got in. ,Egegaa.,S/he put something in. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
170,eget- [ege-],"to light, set on fire",Egetkaa.,S/he lights it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
171,eggan,"large cauldron for outdoor use, cooking pot",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
172,egla(q)-,to laugh,Eglatuq. ,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
173,eglauk-,to smile,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
174,egli(q)-,"to move along, to travel, to travel aalong",Eglituq. ,S/he is traveling. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
175,"eglu, egluuraq",old style house,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
176,egluq,old style house,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
177,egru(q)-,"to congeal, to get (of OBJ)",Egruaa.,It congeals. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
178,egviŋiq-,to be numb,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
179,ekneq,fire,ekneek,(dl) fires,eknet,(pl) fires,,,Diomede Wordlist,,,,,,,,,,,,,,,
180,ekpiġaq-,"to have feeling, not be numb (of body part)",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
181,ekpii-,"to wake up before one intends to, in the middle of one's sleep",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
182,ekpiit-,"to have no feeling, to be numb (of body part)",Ekpiilaq. ,It has no feeling,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
183,ekpinik-,to get feeling back (of body part which has been numb),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
184,eksiq- ??,to quake (of earth),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
185,eksre(k)-,"to stoop down, protruding the buttocks; sit on the toilet",Eksrituŋa.,I am stooping down. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
186,ektaq,"something thrown out, disposed of",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
187,elek-,"to burn, scorch",Elekea.,I burned it. ,Eleksiruŋa.,I burn something. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
188,emek-,to collapse (of an old building),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
189,emeq-,to drink,Emeqtuq. ,S/he is drinking. ,Emeġaa.,S/he is drinking it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
190,emeq,water,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
191,enaŋi(q)-,to take someone's place,Enaŋiaa.,S/he took his place. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
192,ene,"house; room, space",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
193,enetu-,to be spacious,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
194,epnaq,cliff,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
195,epsraq,bluff,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
196,eqłuq,"large intestine, colon",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
197,eqqaq-,to remember,Eqqatuŋa.,I remember,Eqqaega.,I remember it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
198,eqquuk,(dl) buttock,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
199,eqsraniq,side of cheek,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
200,eqsraq,upper cheek,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
201,eraqe-,to cut up (meat),Eraqeaa.,S/he cuts it up. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
202,eraqek ?,cut-up meat,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
203,eraqsraq,pipe tobacco,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
204,ere,eye; dark spot in egg yolk where chick embryo starts form,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
205,ereliniq,upper areaa of eye including eyelid,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
206,ereq-,to hide,Ereqtuq. ,S/he hides. ,Ereġaa.,S/he hides it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
207,erit-,to fall,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
208,erraak,eyeglasses,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
209,errit-,to get something in one's eye,Errituŋa.,I got something in my eye. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
210,esrraliq-,to become very cold weather,Esrraliġaa.,It becomes very cold weather. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
211,esrre,"very cold weather, bitter cold",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
212,et-,"to be located, to exist",Ettuq. ,It exists. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
213,ettu-,to be deep,Etturuq. ,It is deep.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
214,eve-,"to smother, suffocate",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
215,evek-,to be sharp,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
216,ewik,blade of grass,egvit,(pl) grass,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
217,iġałuaq,tomcod,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
218,Iŋaliq,Little Diomede Island; person from Little Diomede,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
219,iġaluk,fish,iġaluit,(pl) fish,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
220,iġaluq,moon,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
221,iġiak,sculpin,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
222,iġinaq,voice,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
223,iġġiq,mountain,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
224,iġitaq-,to pluck a fowl,Iġitagaa.,S/he plucks it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
225,iġlawik,small intenstine (of human or animal),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
226,iġlii-,to be stingy with someone,Iġliigaa.,S/he is stingy with it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
227,iġlitu-,to be stingy ,Iġlituq ??,S/he is stingy.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
228,iġmi(q)-,to wash one's face,Iġmituq.,S/he washes their (own) face.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
229,iġmuik,washbasin,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
230,iġni-,to give birth (of animal or human),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
231,iġniaq,"offspring, child of someone",,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
232,iġniq (should be iġneq) ?,son,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
233,iġnizuaq-,to miscarry,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
234,iŋutuq,whale calf which has separated from mother (m.m. iŋituq - female bowhead?),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
235,iġvi-,to wash clothes,Iġviaa.,S/he washes it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
236,iġviziq,knee-high waterproof mukluks with hair removed,iġviziik ,(dl) these mukluks,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
237,iġviziuraq,short mukluk worn by men,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
238,iaanaq,rain,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
239,iaanauq-,to begin to rain,Iaanauġaa.,It begins to rain. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
240,iaani(q)-,to rain,Iaanituq. ,It rains. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
241,"iaqłi(q)-, iaq-","to search, look for",Iaqłituq. ,S/he searches.,Iaġaa.,S/he searches for it. ,,,Diomede Wordlist,,,,,,,,,,,,,,,
242,iblauq,seal fetus,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
243,igayu(q)-,to help,Igayutuq.,S/he is helping. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
244,iggereġi-,to have a sore throat (also iggiaġiit-),Iggereqsruq.,S/he has a sore throat,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
245,iggiaq,throat,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
246,igi,wound,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
247,igilik,wounded animal,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
248,igili(q)-,to wound ,,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
249,iglu*,other side,igluŋani,on the other side of it,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
250,iglumiq-,to get water in it (of egg),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
251,iguk-,scrape (a skin),Igukaa.,S/he scraped it.,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
252,igusiq,elbow,igusiġa,my elbow,igusin,your elbow,,,Diomede Wordlist,,,,,,,,,,,,,,,
253,iguun,skin scraper (small and rounded),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
254,igva(q)-,"to peek at, to take a look at",Igvagaa.,S/he peeks at it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
255,ii-,to swallow,Iigaa.,S/he swallows it. ,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
256,iiraq,kittiwake (bird),,,,,,,Diomede Wordlist,,,,,,,,,,,,,,,
